Object Type	Object ID	Object Name	Object Caption	Object Subtype	App Name
Page	50208	Cr. Memo Serial No Tracking	Cr. Memo Serial No Tracking	List	WY-Customizations
Page	50209	Purchase Serial No Tracking-2	Purchase Serial No Tracking- Order	List	WY-Customizations
Page	50210	Sales Serial No Tracking Order	Sales Serial No Tracking Order	List	WY-Customizations
Page	50211	Sales Cr. Serial No Tracking	Sales Cr. SerialNo Tracking	List	WY-Customizations
Page	50212	Purch Cr. Serial No Tracking	Purch Cr. Memo Serial No Tracking	List	WY-Customizations
Page	50213	Purch Cr. HeadSerialNoTracking	Purch Cr. Memo Header Serial No Tracking	List	WY-Customizations
Page	50231	Deferral Upload Staging	Deferral Upload Staging	List	WY-Customizations
Page	50251	Billing Frequency	Billing Frequency	List	WY-Customizations
Page	50252	Deferral Order List	Deferral Order	List	WY-Customizations
Page	50253	Deferral Order	Deferral Order	Document	WY-Customizations
Page	50254	Deferral Order Subform	Lines	ListPart	WY-Customizations
Page	50255	Force Close List	Sales Force Close	List	WY-Customizations
Page	50256	Force Close Card	Sales Force Close Card	Document	WY-Customizations
Page	50257	Force Close Subform	Lines	ListPart	WY-Customizations
Page	50258	Purch Force Close List	Purchase Force Close	List	WY-Customizations
Page	50259	Purch Force Close Card Page	Sales Force Close Card	Document	WY-Customizations
Page	50260	Purch Force Close Subform	Lines	ListPart	WY-Customizations
Page	50261	TDS Deduction Info	TDS Deduction Info	List	WY-Customizations
Page	50262	Serial No Tracking List	Serial No Tracking List	List	WY-Customizations
Page	50263	After Invoice Po Link	After Invoice Po Link	List	WY-Customizations
Page	50265	Costing Reco Remaining Qty	Purchase Remaining Data	List	WY-Customizations
Page	50266	Costing Reco Qty Sales	Sales Remaining Data	List	WY-Customizations
Page	50267	Costing Reco Update	Costing Reconciliation Update	List	WY-Customizations
Page	50268	Update Tally Document No.	Update Tally Document No.	List	WY-Customizations
Page	50269	Serial No Tracking New	Serial No Tracking New	List	WY-Customizations
Page	50500	Bank_Acc_Ledger_Entries_Copy	Bank Acc Ledger Entries Copy	List	WY-Reports
Page	50501	Vendor Bank Account List copy	Vendor Bank Account List	List	WY-Reports
Page	50502	custbankacccoppy	Customer Bank Account List	List	WY-Reports
Page	50504	Costing Reco Update2	Costing Reco Nov Update	List	WY-Reports
Page	50604	SalesOrderUploadUtility_Page	Sales Order Upload Utility	List	WYS006-Sales Upload Utility
Page	50605	SOcommentupload_Page	Sales Order comment Upload Utility	List	WYS006-Sales Upload Utility
Page	50701	CustCRMBusinessGroupPage	Customer CRM Business Group	List	WYS005-BCE-CRM Integration
Page	50709	CustomerStagingMaster	Customer staging Master	List	WYS005-BCE-CRM Integration
Page	50710	ItemStagingMaster	Item Staging Master	List	WYS005-BCE-CRM Integration
Page	50711	SalesQtoSalesOStaggingMaster	Sales Quotes to Sales Orders Staging Master	List	WYS005-BCE-CRM Integration
Page	50712	CommentStaggingMaster	Comment Stagging Master	List	WYS005-BCE-CRM Integration
Page	50713	ProducImporttMaster	Product Import Master	List	WYS005-BCE-CRM Integration
Page	50714	CustomerApiInsert	CustomerApiInsert	API	WYS005-BCE-CRM Integration
Page	50715	ItemApiInsert	ItemApiInsert	API	WYS005-BCE-CRM Integration
Page	50724	SalesQtoSalesOApi	Sales Quote to Sales Order API	API	WYS005-BCE-CRM Integration
Page	50725	SalesCommentAPI	Sales Comment API	API	WYS005-BCE-CRM Integration
Page	50726	CustomerResponseApi	Customer Response API	API	WYS005-BCE-CRM Integration
Page	50727	ItemResponseApi	Item Response API	API	WYS005-BCE-CRM Integration
Page	50728	SalesQuotetoSalesOResponse	Sales Quote to Sales Order Response API	API	WYS005-BCE-CRM Integration
Page	50729	SalesCommentResponse	Sales Comment Response API	API	WYS005-BCE-CRM Integration
Page	50730	ProductImportApi	Product Import Api	API	WYS005-BCE-CRM Integration
Page	50736	ItemCRMBusinessGroupPage	Item CRM Business Group	List	WYS005-BCE-CRM Integration
Page	50900	GL Entries Update-Vserve	GL Entries Update-Vserve	List	WY-Additional CR
Page	50901	Item Appl Entry Update-Vserve	Item Appl Entry Update-Vserve	List	WY-Additional CR
Page	50902	Item Ledg RemQty Update-Vserve	Item Ledg Update-Vserve	List	WY-Additional CR
Page	50903	Item Ledger Entries-Vserve	Stock Entries-Vserve	List	WY-Additional CR
Page	50904	Sales Line Update-Vserve	Sales Line Update-Vserve	List	WY-Additional CR
Page	50905	Sales Line-Vserve	Sales Data-Vserve	List	WY-Additional CR
Page	60101	LUTMasterPage	LOA/LUT List Page	List	WYS000-Customization
Page	60102	NewLocationNoSeriesPage	No. Series	List	WYS000-Customization
Page	60103	DeclarationTemplatePage	Declaration Template List	List	WYS000-Customization
Page	60104	LUTCustomerPage	Customer Wise LOA	List	WYS000-Customization
Page	60105	LUTLocationPage	Location Wise LUT	Document	WYS000-Customization
Page	60106	Upt.-Subform-SalesInvLine	Lines	ListPart	WYS000-Customization
Page	60107	Upt.-Subfrom-PurchInvLine	Lines	ListPart	WYS000-Customization
Page	60108	EndConsumerDetailsPage	End Consumer List Page	List	WYS000-Customization
Page	60109	NewLocationSalesQuotes	No. Series	List	WYS000-Customization
Page	60110	NewLocationSalesInvoice	No. Series	List	WYS000-Customization
Page	60111	NewLocationSalesReturnOder	No. Series	List	WYS000-Customization
Page	60112	NewLocationSalesCrMemo	No. Series	List	WYS000-Customization
Page	60113	NewLocPurchNoSeriesPage	No. Series	List	WYS000-Customization
Page	60114	NewLocationPurchaseQuotes	No. Series	List	WYS000-Customization
Page	60115	NewLocationPurcahseInvoice	No. Series	List	WYS000-Customization
Page	60116	NewLocationPurchReturnOder	No. Series	List	WYS000-Customization
Page	60117	NewLocationPurchCrMemo	No. Series	List	WYS000-Customization
Page	60118	Sales Debit Note List	Sales Debit Note	List	WYS000-Customization
Page	60119	Sales Debit Note	Sales Debit Note	Document	WYS000-Customization
Page	60120	Sales Debit Note Subform	Debit Note Lines	ListPart	WYS000-Customization
Page	60121	NewLocationSalesDebitNote	No. Series	List	WYS000-Customization
Page	60122	NewLocationPurchDebit	No. Series	List	WYS000-Customization
Page	60123	PurchaseDebitNoteList	Purchase Debit Note	List	WYS000-Customization
Page	60124	Purchase Debit Note	Purchase Debit Note	Document	WYS000-Customization
Page	60125	Purch. Debit  Note Subform	Debit Note Lines	ListPart	WYS000-Customization
Page	60126	E-Invocie Ledger Entires	E-Invoice Ledger Entries	List	WYS000-Customization
Page	60127	E-Way Bill Details List	E-Way Bill Generation	List	WYS000-Customization
Page	60128	E-Way Bill List	E-way bill Details	List	WYS000-Customization
Page	60129	E-Way Bill Subform	E-Way Bill Subform	Card	WYS000-Customization
Page	60130	NewEwayBillPage	E-way Bill	Card	WYS000-Customization
Page	60131	SalesINVEwayBillPage	E-way Bill	Card	WYS000-Customization
Page	60132	EwayPartPage	EwayPartPage	CardPart	WYS000-Customization
Page	60133	UpdateDetailsGenLedEnt	UpdateDetailsGenLedEnt	Card	WYS000-Customization
Page	60134	UpdataData	UpdataData	List	WYS000-Customization
Page	60135	NewUpdateReferenceInvNo	Update Reference Invoice No.	List	WYS000-Customization
Page	60136	SalesCommentSheetFactbox	Comment	ListPart	WYS000-Customization
Page	60137	PurchCommentListFactBox	Comment	ListPart	WYS000-Customization
Page	60138	DocumentAttachmentDetails	Attached Documents	ListPart	WYS000-Customization
Page	60139	Change Exc. Rate New	Change Exchange Rate	StandardDialog	WYS000-Customization
Page	60207	Posting No. - Update Sales	Posting No. - Update Sales	Card	WYS000-Customization
Page	60208	Posting No. - Update Purchase	Posting No. - Update Purchase	Card	WYS000-Customization
Page	60209	PostNo. - Update Sales Cr Note	Posting No. - Update Sales Cr Note	Card	WYS000-Customization
Page	60210	PostNo.- Update Purch Cr Note	Posting No. - Update Purchase Cr Note	Card	WYS000-Customization
Page	60211	PostNo-Update Sales Debit Note	Posting No. - Update Sales Debit Note	Card	WYS000-Customization
Page	60212	PostNo - Update Sales Inv	Posting No. - Update Sales Inv.	Card	WYS000-Customization
Page	60213	PostNo - Update Purchase Debit	Posting No. - Update Purchase Debit Note	Card	WYS000-Customization
Page	60214	PostNo - Update Purchase Inv.	Posting No. - Update Purchase Inv.	Card	WYS000-Customization
Page	60215	Upt.-Det.Cust.Led.Entry	Detailed Cust. Ledg. Entry	ListPart	WYS000-Customization
Page	60216	GenLedEntriesSubformPage	General Ledger Entries	ListPart	WYS000-Customization
Page	60217	Dimensions -Update	General Ledger Entries	ListPart	WYS000-Customization
Page	60218	CRM Order -Update Sales	CRM Order - Update Sales	Card	WYS000-Customization
Page	60219	Ven. Led. Ent. Dim -Update	Vendor Ledger Entry	ListPart	WYS000-Customization
Page	60220	Cust. Led. Ent. Dim -Update	Customer Ledger Entries	ListPart	WYS000-Customization
Page	60221	Dimension- Update	Dimension- Update	Card	WYS000-Customization
Page	60222	E-way Factbox	E-Way Bill Important Note	CardPart	WYS000-Customization
Page	60243	E-Inv. Ledger Page	E-Inv. Ledger Details	CardPart	WYS000-Customization
Page	60244	Upt.-SubformSal.Cr.MemoLine	Lines	ListPart	WYS000-Customization
Page	70100	PurchaseParentUpdate	Purchase Lines	ListPart	WYS004-Reports
Page	70101	Parent Det.-Update Purchase	Parent Det.- Update Purchase	Card	WYS004-Reports
Page	70102	SalesParentUpdate	Sales Lines	ListPart	WYS004-Reports
Query	4401	EXR Top Vendor Balance	Top Vendor Balance	Normal	Dynamics BC Excel Reports
Query	4402	EXR Top Vendor Purchase	Top Vendor Purchase	Normal	Dynamics BC Excel Reports
Query	4403	EXR Top Customer Balance	Top Customer Balance	Normal	Dynamics BC Excel Reports
Query	4404	EXR Top Customer Sales	Top Customer Sale	Normal	Dynamics BC Excel Reports
PageExtension	4401	EXR Accountant Role Center	EXR Accountant Role Center	9027	Dynamics BC Excel Reports
PageExtension	4402	EXT Bus. Manager Role Center	EXT Bus. Manager Role Center	9022	Dynamics BC Excel Reports
PageExtension	4403	EXT Company Detail	EXT Company Detail	1156	Dynamics BC Excel Reports
PageExtension	4405	EXRARRoleCenter	EXRARRoleCenter	9077	Dynamics BC Excel Reports
PageExtension	4406	EXRFinRoleCenter	EXRFinRoleCenter	8901	Dynamics BC Excel Reports
PageExtension	4407	Fixed Asset List	Fixed Asset List	5601	Dynamics BC Excel Reports
PageExtension	4408	Business Unit List	Business Unit List	240	Dynamics BC Excel Reports
PageExtension	50002	PageExtension50002	PageExtension50002	25	Designer_08f99654-6811-4cad-a5d7-f0d410b8d1a9
PageExtension	50003	PageExtension50003	PageExtension50003	96	Designer_08f99654-6811-4cad-a5d7-f0d410b8d1a9
PageExtension	50102	VendorListPageExt	VendorListPageExt	27	WYS002-MSMECustomization
PageExtension	50103	VendorCardPageExt	VendorCardPageExt	26	WYS002-MSMECustomization
PageExtension	50104	VenLedEntPageExt	VenLedEntPageExt	29	WYS002-MSMECustomization
PageExtension	50105	Posted Sales Inv Lines	Posted Sales Inv Lines	526	WYS002-MSMECustomization
PageExtension	50106	Posted Purch Inv Lines	Posted Purch Inv Lines	529	WYS002-MSMECustomization
PageExtension	50200	Sales Order Sub Ext	Sales Order Sub Ext	46	WY-Customizations
PageExtension	50201	Posted Sales Shpt. Subform Ext	Posted Sales Shpt. Subform Ext	131	WY-Customizations
PageExtension	50202	Posted Sales Inv Subform Ext	Posted Sales Inv Subform Ext	133	WY-Customizations
PageExtension	50203	Posted Sales Cr. Memo Subform	Posted Sales Cr. Memo Subform	135	WY-Customizations
PageExtension	50204	Posted Retrn Recpt Subform Ext	Posted Retrn Recpt Subform Ext	6661	WY-Customizations
PageExtension	50205	Purchase Order Subform Ext	Purchase Order Subform Ext	54	WY-Customizations
PageExtension	50206	Posted Purch. Rcpt. Sub Ext	Posted Purch. Rcpt. Sub Ext	137	WY-Customizations
PageExtension	50207	Posted Purch. Inv Subform Ext	Posted Purch. Inv Subform Ext	139	WY-Customizations
PageExtension	50208	Post Purch.Cr.Memo Subform Ext	Post Purch.Cr.Memo Subform Ext	141	WY-Customizations
PageExtension	50209	Posted Return Shipt Sub Ext	Posted Return Shipt Sub Ext	6651	WY-Customizations
PageExtension	50210	Cust.Ledger Entry Ext	Cust.Ledger Entry Ext	25	WY-Customizations
PageExtension	50211	Vendor Ledger Entries Ext	Vendor Ledger Entries Ext	29	WY-Customizations
PageExtension	50212	Sales Order Force Close Ext	Sales Order Force Close Ext	42	WY-Customizations
PageExtension	50213	Purchase Order Force Close Ext	Purchase Order Force Close Ext	50	WY-Customizations
PageExtension	50214	Sales Order Upload Utility	Sales Order Upload Utility	9305	WY-Customizations
PageExtension	50215	General Journal-Ext	General Journal-Ext	39	WY-Customizations
PageExtension	50216	Purch. Invoice Subform_Ext	Purch. Invoice Subform_Ext	55	WY-Customizations
PageExtension	50217	Sales Credit Memo_Ext	Sales Credit Memo_Ext	96	WY-Customizations
PageExtension	50218	Sales Invoice Subform_Ext	Sales Invoice Subform_Ext	47	WY-Customizations
PageExtension	50219	Purch. Cr. Memo Subform_Ext	Purch. Cr. Memo Subform_Ext	98	WY-Customizations
PageExtension	50220	GL Entry-Ext	GL Entry-Ext	20	WY-Customizations
PageExtension	50221	Gen Ledger Setup-Ext	Gen Ledger Setup-Ext	118	WY-Customizations
PageExtension	50222	Bank Payment Voucher-Ext	Bank Payment Voucher-Ext	18550	WY-Customizations
PageExtension	50223	50223-Page-GlAccount-Ext	50223-Page-GlAccount-Ext	16	WY-Customizations
PageExtension	50224	50224-postedDocLines-Ext.al	50224-postedDocLines-Ext.al	518	WY-Customizations
PageExtension	50225	Posted Purchase Inv. Lines	Posted Purchase Inv. Lines	529	WY-Customizations
PageExtension	50226	Posted Purchase Cr. Lines	Posted Purchase Cr. Lines	530	WY-Customizations
PageExtension	50227	Posted Sale Cr. Lines	Posted Sale Cr. Lines	527	WY-Customizations
PageExtension	50228	Posted Sale Inv Lines	Posted Sale Inv Lines	526	WY-Customizations
PageExtension	50229	Posted purhc rec lines	Posted purhc rec lines	528	WY-Customizations
PageExtension	50230	Posted sales shipline	Posted sales shipline	525	WY-Customizations
PageExtension	50232	Posted Doc Lines	Posted Doc Lines	5852	WY-Customizations
PageExtension	50233	Posted purch inv 2	Posted purch inv 2	5857	WY-Customizations
PageExtension	50234	Posted purch rec	Posted purch rec	5856	WY-Customizations
PageExtension	50235	Sales Lines-Ext	Sales Lines-Ext	516	WY-Customizations
PageExtension	50236	Purchse Debit Note Sub-Form	Purchse Debit Note Sub-Form	60125	WY-Customizations
PageExtension	50237	Sales Debit Note Sub-Form	Sales Debit Note Sub-Form	60120	WY-Customizations
PageExtension	50238	Purchase Invoice-Ext	Purchase Invoice-Ext	51	WY-Customizations
PageExtension	50239	Sales Credit Memo-Ext	Sales Credit Memo-Ext	44	WY-Customizations
PageExtension	50240	Sales Order Archive-Ext	Sales Order Archive-Ext	5159	WY-Customizations
PageExtension	50251	Deferral Template Card Ext	Deferral Template Card Ext	1700	WY-Customizations
PageExtension	50252	General Journal Batches_Ext	General Journal Batches_Ext	251	WY-Customizations
PageExtension	50258	Purchase Order Ext.	Purchase Order Ext.	9307	WY-Customizations
PageExtension	50259	GL Account	GL Account	17	WY-Customizations
PageExtension	50262	Apply Cust. Entries Ext	Apply Cust. Entries Ext	232	WY-Customizations
PageExtension	50263	Posted Sales Shipments-Ext	Posted Sales Shipments-Ext	142	WY-Customizations
PageExtension	50264	Posted Sales Invoices-Ext	Posted Sales Invoices-Ext	143	WY-Customizations
PageExtension	50265	Sales Return Order List-Ext	Sales Return Order List-Ext	9304	WY-Customizations
PageExtension	50266	Sales Credit Memos-Ext	Sales Credit Memos-Ext	9302	WY-Customizations
PageExtension	50267	Sales Debit Note List-Ext	Sales Debit Note List-Ext	60118	WY-Customizations
PageExtension	50268	Posted Sales Credit Memos-Ext	Posted Sales Credit Memos-Ext	144	WY-Customizations
PageExtension	50269	Posted Purchase Receipts-Ext	Posted Purchase Receipts-Ext	145	WY-Customizations
PageExtension	50270	Posted Purchase Invoices-Ext	Posted Purchase Invoices-Ext	146	WY-Customizations
PageExtension	50271	Purchase Return Order List-Ext	Purchase Return Order List-Ext	9311	WY-Customizations
PageExtension	50272	Purchase Credit Memos-Ext	Purchase Credit Memos-Ext	9309	WY-Customizations
PageExtension	50273	Posted Purchase Cr Memos-Ext	Posted Purchase Cr Memos-Ext	147	WY-Customizations
PageExtension	50274	PurchaseDebitNoteList-Ext	PurchaseDebitNoteList-Ext	60123	WY-Customizations
PageExtension	50275	Journal Voucher Ext	Journal Voucher Ext	18557	WY-Customizations
PageExtension	50276	Fixed Asset List-Ext	Fixed Asset List-Ext	5601	WY-Customizations
PageExtension	50277	Purchase Order Archive-Ext	Purchase Order Archive-Ext	5167	WY-Customizations
PageExtension	50278	Item Ledger Entries-EXT	Item Ledger Entries-EXT	38	WY-Customizations
PageExtension	50279	Det. Vendor Ledgr. Entry	Det. Vendor Ledgr. Entry	574	WY-Customizations
PageExtension	50280	Det Cust Ledger Entry-EXT	Det Cust Ledger Entry-EXT	573	WY-Customizations
PageExtension	50500	chartofacc1	chartofacc1	16	WY-Reports
PageExtension	50502	Accountantreportext1	Accountantreportext1	9027	WY-Reports
PageExtension	50503	BusinessManagerreportext1	BusinessManagerreportext1	9022	WY-Reports
PageExtension	50504	salesorderext1	salesorderext1	9006	WY-Reports
PageExtension	50505	MyExtension	MyExtension	372	WY-Reports
PageExtension	50506	BankAccReconExt	BankAccReconExt	380	WY-Reports
PageExtension	50507	ApplyBankAccLedEntr_Ext	ApplyBankAccLedEntr_Ext	381	WY-Reports
PageExtension	50508	BankAccStatLines	BankAccStatLines	384	WY-Reports
PageExtension	50509	BAnkPayVou_Ext	BAnkPayVou_Ext	18550	WY-Reports
PageExtension	50510	BAnkReceiptVouch_Ext	BAnkReceiptVouch_Ext	18553	WY-Reports
PageExtension	50511	bankaccrecoheader	bankaccrecoheader	379	WY-Reports
PageExtension	50512	vendorBankAccCard	vendorBankAccCard	425	WY-Reports
PageExtension	50513	customerbankacccard	customerbankacccard	423	WY-Reports
PageExtension	50514	vendor ext	vendor ext	27	WY-Reports
PageExtension	50515	VenLedEntry_Ext	VenLedEntry_Ext	29	WY-Reports
PageExtension	50516	customer_ext	customer_ext	22	WY-Reports
PageExtension	50517	CustLedEntryExt	CustLedEntryExt	25	WY-Reports
PageExtension	50601	Sales Order Upload Utility_	Sales Order Upload Utility_	9305	WYS006-Sales Upload Utility
PageExtension	50602	General Journal-Ext_	General Journal-Ext_	39	WYS006-Sales Upload Utility
PageExtension	50603	Purchase Order Ext._	Purchase Order Ext._	9307	WYS006-Sales Upload Utility
PageExtension	50605	commentline	commentline	67	WYS006-Sales Upload Utility
PageExtension	50606	salesline	salesline	516	WYS006-Sales Upload Utility
PageExtension	50607	JounralVocher	JounralVocher	18557	WYS006-Sales Upload Utility
PageExtension	50732	RibbonAdminPageExt	RibbonAdminPageExt	9024	WYS005-BCE-CRM Integration
PageExtension	50733	RibbonBusinessMangerPageExt	RibbonBusinessMangerPageExt	9022	WYS005-BCE-CRM Integration
PageExtension	50734	SalesOrderProcPageExt	SalesOrderProcPageExt	9006	WYS005-BCE-CRM Integration
PageExtension	50735	SalesOrd-PageExt	SalesOrd-PageExt	42	WYS005-BCE-CRM Integration
PageExtension	50736	Item-Page	Item-Page	30	WYS005-BCE-CRM Integration
PageExtension	50900	TDSAdjJouExt	TDSAdjJouExt	18747	WY-Additional CR
PageExtension	50901	TDSEntryExt	TDSEntryExt	18691	WY-Additional CR
PageExtension	50911	GeneralLedgerEntriesExt	GeneralLedgerEntriesExt	20	WY-Additional CR
PageExtension	50912	CustomerListExt	CustomerListExt	22	WY-Additional CR
PageExtension	50913	VendorListExt	VendorListExt	27	WY-Additional CR
PageExtension	50914	SalesOrderListExt	SalesOrderListExt	9305	WY-Additional CR
PageExtension	50915	PurchaseOrderListExt	PurchaseOrderListExt	9307	WY-Additional CR
PageExtension	50916	PostedSalesInvoiceExt	PostedSalesInvoiceExt	143	WY-Additional CR
PageExtension	50917	PostedPurchaseInvoiceExt	PostedPurchaseInvoiceExt	146	WY-Additional CR
PageExtension	50918	PostedSalesCreditMemoExt	PostedSalesCreditMemoExt	144	WY-Additional CR
PageExtension	50919	PostedPurchaseCreditMemos	PostedPurchaseCreditMemos	147	WY-Additional CR
PageExtension	60101	CustomerPageExt	CustomerPageExt	21	WYS000-Customization
PageExtension	60102	VendorPageExt	VendorPageExt	26	WYS000-Customization
PageExtension	60103	OrderAddressPageExt	OrderAddressPageExt	368	WYS000-Customization
PageExtension	60104	ShipToAddressPageExt	ShipToAddressPageExt	300	WYS000-Customization
PageExtension	60105	CompanyInfoPageExt	CompanyInfoPageExt	1	WYS000-Customization
PageExtension	60106	SalesInvoiceHeaderPageExt	SalesInvoiceHeaderPageExt	132	WYS000-Customization
PageExtension	60107	SalesHeaderPageExt	SalesHeaderPageExt	42	WYS000-Customization
PageExtension	60108	SalesCrMemoHeaderPageExt	SalesCrMemoHeaderPageExt	134	WYS000-Customization
PageExtension	60109	SalesShipmentHeaderPageExt	SalesShipmentHeaderPageExt	130	WYS000-Customization
PageExtension	60110	ReturnReceiptHeaderPageExt	ReturnReceiptHeaderPageExt	6660	WYS000-Customization
PageExtension	60111	PurchaseHeaderPageExt	PurchaseHeaderPageExt	50	WYS000-Customization
PageExtension	60112	PurcahseInvoiceHeaderPageExt	PurcahseInvoiceHeaderPageExt	138	WYS000-Customization
PageExtension	60113	PurchCrMemoHdrPageExt	PurchCrMemoHdrPageExt	140	WYS000-Customization
PageExtension	60114	PurchRcptHeaderPageExt	PurchRcptHeaderPageExt	136	WYS000-Customization
PageExtension	60115	ReturnShipmentHeaderPageExt	ReturnShipmentHeaderPageExt	6650	WYS000-Customization
PageExtension	60116	SalesLinePageExt	SalesLinePageExt	516	WYS000-Customization
PageExtension	60117	PaymentTermsPageExt	PaymentTermsPageExt	4	WYS000-Customization
PageExtension	60118	LocationCardPageExt	LocationCardPageExt	5703	WYS000-Customization
PageExtension	60119	SalesOrderListPageExt	SalesOrderListPageExt	9305	WYS000-Customization
PageExtension	60120	UserSetupPageExt	UserSetupPageExt	119	WYS000-Customization
PageExtension	60121	SalesQuotesListPageExt	SalesQuotesListPageExt	9300	WYS000-Customization
PageExtension	60122	SalesInvoiceListPageExt	SalesInvoiceListPageExt	9301	WYS000-Customization
PageExtension	60123	SalesCreditMemosListPageExt	SalesCreditMemosListPageExt	9302	WYS000-Customization
PageExtension	60124	SalesReturnOrderListPageExt	SalesReturnOrderListPageExt	9304	WYS000-Customization
PageExtension	60125	PostedSalesInvoicesPageExt	PostedSalesInvoicesPageExt	143	WYS000-Customization
PageExtension	60126	PostedSalesCreditMemosPageExt	PostedSalesCreditMemosPageExt	144	WYS000-Customization
PageExtension	60127	PostedReturnReceiptsPageExt	PostedReturnReceiptsPageExt	6662	WYS000-Customization
PageExtension	60128	PostedSalesShipmentsPageExt	PostedSalesShipmentsPageExt	142	WYS000-Customization
PageExtension	60129	SalesQuotePageExt	SalesQuotePageExt	41	WYS000-Customization
PageExtension	60130	SalesInvoicePageExt	SalesInvoicePageExt	43	WYS000-Customization
PageExtension	60131	SalesCredMemosPageExt	SalesCredMemosPageExt	44	WYS000-Customization
PageExtension	60132	SalesReturnOrderList	SalesReturnOrderList	6630	WYS000-Customization
PageExtension	60133	PurchaseOrderListPageExt	PurchaseOrderListPageExt	9307	WYS000-Customization
PageExtension	60135	PurchaseInvoicesPageExt	PurchaseInvoicesPageExt	9308	WYS000-Customization
PageExtension	60136	PurchInvoicesPageExt	PurchInvoicesPageExt	51	WYS000-Customization
PageExtension	60137	PurchaseCreditMemosPageExt	PurchaseCreditMemosPageExt	9309	WYS000-Customization
PageExtension	60138	PurchCrMemosPageExt	PurchCrMemosPageExt	52	WYS000-Customization
PageExtension	60139	PurchaseReturnOrderListPageExt	PurchaseReturnOrderListPageExt	9311	WYS000-Customization
PageExtension	60140	PurchaseReturnOrder	PurchaseReturnOrder	6640	WYS000-Customization
PageExtension	60141	PostedPurchaseInvoicesPageExt	PostedPurchaseInvoicesPageExt	146	WYS000-Customization
PageExtension	60142	PostedPurchCrtMemosPageExt	PostedPurchCrtMemosPageExt	147	WYS000-Customization
PageExtension	60143	PostedPurchaseReceiptsPageExt	PostedPurchaseReceiptsPageExt	145	WYS000-Customization
PageExtension	60144	PostedReturnShipmentsPageExt	PostedReturnShipmentsPageExt	6652	WYS000-Customization
PageExtension	60145	GeneralJournalPageExt	GeneralJournalPageExt	39	WYS000-Customization
PageExtension	60146	BankPaymentVoucherPageExt	BankPaymentVoucherPageExt	18550	WYS000-Customization
PageExtension	60147	BankReceiptVoucherPageExt	BankReceiptVoucherPageExt	18553	WYS000-Customization
PageExtension	60148	CashPaymentVoucherPageExt	CashPaymentVoucherPageExt	18554	WYS000-Customization
PageExtension	60149	CashReceiptVoucherPageExt	CashReceiptVoucherPageExt	18555	WYS000-Customization
PageExtension	60150	ContraVoucherPageExt	ContraVoucherPageExt	18556	WYS000-Customization
PageExtension	60151	PostedGeneralJournalPageExt	PostedGeneralJournalPageExt	182	WYS000-Customization
PageExtension	60152	CustomerLedgerEntriesPageExt	CustomerLedgerEntriesPageExt	25	WYS000-Customization
PageExtension	60153	VendorLedgerEntriesPageExt	VendorLedgerEntriesPageExt	29	WYS000-Customization
PageExtension	60154	BankAccLedEntPageExt	BankAccLedEntPageExt	372	WYS000-Customization
PageExtension	60155	PostedSalesInvUpdate	PostedSalesInvUpdate	1355	WYS000-Customization
PageExtension	60156	SalesInvoiceLinePageExtension	SalesInvoiceLinePageExtension	133	WYS000-Customization
PageExtension	60157	PostedPurchInvoiceSubform	PostedPurchInvoiceSubform	529	WYS000-Customization
PageExtension	60158	PostedPurchInvUpdate	PostedPurchInvUpdate	1351	WYS000-Customization
PageExtension	60159	PurchaseQuotesPageListExt	PurchaseQuotesPageListExt	9306	WYS000-Customization
PageExtension	60160	SalesOrderSubformPageExt	SalesOrderSubformPageExt	46	WYS000-Customization
PageExtension	60161	BusRoleFinReport	BusRoleFinReport	9022	WYS000-Customization
PageExtension	60162	SalesQuoteSubform	SalesQuoteSubform	95	WYS000-Customization
PageExtension	60163	SalesInvoiceSubform	SalesInvoiceSubform	47	WYS000-Customization
PageExtension	60164	SalesCrMemoSubform	SalesCrMemoSubform	96	WYS000-Customization
PageExtension	60165	SalesReuOrderSubform	SalesReuOrderSubform	6631	WYS000-Customization
PageExtension	60166	PurchaseQuoteSubform	PurchaseQuoteSubform	97	WYS000-Customization
PageExtension	60167	PurchOrderSubform	PurchOrderSubform	54	WYS000-Customization
PageExtension	60168	PurchInvoiceSubform	PurchInvoiceSubform	55	WYS000-Customization
PageExtension	60169	PurchCrMemoSubform	PurchCrMemoSubform	98	WYS000-Customization
PageExtension	60170	PurchaseReturnOrderSubform	PurchaseReturnOrderSubform	6641	WYS000-Customization
PageExtension	60171	SalesReceivablesSetupPageExt	SalesReceivablesSetupPageExt	459	WYS000-Customization
PageExtension	60172	StatesPageExt	StatesPageExt	18547	WYS000-Customization
PageExtension	60173	GenJourBatchPageExt	GenJourBatchPageExt	251	WYS000-Customization
PageExtension	60174	PostedPurchInvSub	PostedPurchInvSub	139	WYS000-Customization
PageExtension	60175	PostedPurchCrMemo	PostedPurchCrMemo	141	WYS000-Customization
PageExtension	60176	PostedPurchRecpt	PostedPurchRecpt	137	WYS000-Customization
PageExtension	60177	PostedRetShip	PostedRetShip	6651	WYS000-Customization
PageExtension	60178	PostedSalesCrMemo	PostedSalesCrMemo	135	WYS000-Customization
PageExtension	60179	PostedRetRecipt	PostedRetRecipt	6661	WYS000-Customization
PageExtension	60180	PostedSalesShip	PostedSalesShip	131	WYS000-Customization
PageExtension	60181	JournalVoucherPageExt	JournalVoucherPageExt	18557	WYS000-Customization
